fips,TOT_POP,0-9 y/o % of total pop,10-19 y/o % of total pop,20-29 y/o % of total pop,30-39 y/o % of total pop,40-49 y/o % of total pop,50-59 y/o % of total pop,60-69 y/o % of total pop,70-79 y/o % of total pop,80+ y/o % of total pop,% White-alone,Black-alone pop,% Black-alone,Native American/American Indian-alone pop,% NA/AI-alone,Asian-alone pop,% Asian-alone,Hawaiian/Pacific Islander-alone pop,% Hawaiian/PI-alone,Two or more races pop,% Two or more races,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,PCTPOVALL_2018,PCTPOV017_2018,MEDHHINC_2018,Unemployment_rate_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total Hospitals (2019),ICU Beds_x,Percent of Population Aged 60+,STATE_FIPS,CNTY_FIPS,anycondition_prevalence,Obesity_prevalence,Heart disease_prevalence,COPD_prevalence,diabetes_prevalence,CKD_prevalence,Urban_rural_code
20023,2660,12.44360902,11.05263158,9.812030075,10.41353383,9.323308271,11.61654135,15.33834586,10.71428571,9.285714286,96.2406015,11,0.413533835,9,0.338345865,55,2.067669173,0,0.0,25,0.939849624,-30,49,14.6,14.2,0.4,1.5,-13.5,6.5,30.2,37.0,26.3,12.4,20.0,43274,2.4,74.4,227.6,88.0,6.8,6.3,0.126992741,0,34.0,20,23,50.8,37.5,9.6,8.8,13.8,3.7,6
20025,2005,12.41895262,13.96508728,11.4713217,11.22194514,10.27431421,12.01995012,12.06982544,8.778054863,7.780548628,94.41396509,8,0.399002494,26,1.296758105,26,1.296758105,2,0.099750623,50,2.493765586,6,57,11.5,9.5,2.0,0.0,1.0,6.4,27.5,34.5,31.5,13.1,19.5,51235,2.4,88.1,227.6,88.0,6.8,6.3,0.095721972,0,28.1,20,25,49.2,39.4,8.4,7.8,12.3,3.4,6
20027,7997,12.90483931,12.55470802,9.44104039,11.57934225,10.95410779,12.35463299,13.63011129,9.741152932,6.840065024,95.98599475,75,0.937851694,51,0.637739152,42,0.525196949,7,0.087532825,146,1.825684632,-19,140,13.2,13.1,0.1,-0.4,-2.1,7.0,29.8,36.0,27.2,10.7,16.8,52681,3.2,90.6,227.6,88.0,6.8,6.3,0.38178983,0,29.4,20,27,47.2,36.2,8.1,7.8,12.3,3.2,6
20029,8729,12.72768931,13.58689426,11.33004926,11.34150533,9.840760683,12.77351358,12.85370604,8.557681292,6.988200252,95.14262802,82,0.939397411,59,0.675907893,121,1.386183984,4,0.045824264,158,1.810058426,-215,498,9.2,14.8,-5.7,0.7,-19.4,8.6,30.5,38.4,22.5,16.0,18.4,44467,3.5,76.5,227.6,88.0,6.8,6.3,0.416736705,0,26.8,20,29,47.4,38.6,8.8,8.8,13.0,3.5,6
20031,8233,11.5389287,12.35272683,10.79800802,10.87088546,11.30815013,14.19895542,14.51475768,9.194704239,5.222883518,95.33584356,74,0.898821815,83,1.008137981,78,0.947406778,1,0.012146241,148,1.797643629,5,130,10.9,9.7,1.2,-0.1,-0.5,6.7,33.4,37.0,22.9,10.7,14.8,58371,4.8,100.4,227.6,88.0,6.8,6.3,0.393056855,0,26.8,20,31,45.2,37.6,8.1,8.1,12.2,3.2,6
20033,1748,12.92906178,13.04347826,8.638443936,9.95423341,10.46910755,12.41418764,14.47368421,11.61327231,6.464530892,95.88100686,8,0.457665904,21,1.201372998,9,0.514874142,3,0.171624714,31,1.773455378,-19,65,6.8,8.5,-1.7,0.0,-8.0,7.2,32.8,41.4,18.6,11.2,14.6,46818,2.5,80.5,227.6,88.0,6.8,6.3,0.083452373,0,33.4,20,33,44.8,33.5,8.4,8.0,12.4,3.3,6
20035,35218,12.83718553,14.13197797,12.63842353,11.99102732,11.2641263,12.59299222,11.70424215,7.848259413,4.991765574,88.73871316,1014,2.879209495,806,2.288602419,691,1.962064853,185,0.525299563,1270,3.606110512,-138,2009,10.6,11.5,-0.9,1.1,-4.1,10.1,30.7,39.0,20.1,15.4,21.6,47864,3.4,82.3,227.6,88.0,6.8,6.3,1.681364792,4,23.3,20,35,49.6,40.7,8.0,8.3,12.4,3.3,5
20037,39019,12.04028806,14.1777083,20.04664394,11.18173198,10.24116456,11.04846357,10.55383275,6.491709167,4.218457674,91.44263051,925,2.370639945,457,1.171224275,737,1.888823394,121,0.310105333,1099,2.81657654,-12,1781,11.9,9.5,2.4,1.5,-4.2,9.1,28.2,33.2,29.5,17.7,21.4,43852,4.0,75.4,227.6,88.0,6.8,6.3,1.862830735,12,20.3,20,37,44.9,32.5,7.2,7.6,10.9,3.0,5
20039,2871,11.52908394,9.822361546,9.021246952,10.03134796,8.11563915,13.96725879,16.99756183,10.06617903,10.44932079,96.72587948,27,0.940438872,14,0.48763497,8,0.278648555,0,0.0,45,1.567398119,-7,81,10.8,13.2,-2.4,0.7,-0.7,8.7,32.5,35.3,23.5,13.6,21.0,44774,3.0,77.0,227.6,88.0,6.8,6.3,0.137066225,0,34.2,20,39,48.9,35.6,10.5,9.8,14.7,4.0,6
20041,18717,12.43254795,13.47438158,10.25271144,12.13869744,11.1823476,13.72014746,12.88133782,7.811080836,6.106747876,94.55040872,220,1.175402041,177,0.945664369,121,0.646471123,18,0.096169258,484,2.58588449,-125,307,11.1,10.5,0.6,-0.2,-7.0,9.4,33.5,35.0,22.1,10.9,15.4,50605,3.5,87.0,227.6,88.0,6.8,6.3,0.893580124,0,25.4,20,41,50.3,40.3,8.4,8.5,12.5,3.4,6
20043,7682,11.41629784,14.70971101,11.81983858,11.45535017,10.92163499,13.09554803,13.23873991,7.940640458,5.402239,92.60609216,254,3.306430617,104,1.353814111,37,0.481645405,0,0.0,173,2.252017704,17,427,9.1,9.4,-0.3,-0.1,2.7,10.0,36.0,34.7,19.3,13.3,17.8,50949,3.5,87.6,227.6,88.0,6.8,6.3,0.366751216,0,26.2,20,43,44.4,36.3,8.1,8.4,12.1,3.2,4
20045,121436,10.02503376,13.97443921,25.5657301,12.97885306,10.33136796,9.762343951,9.407424487,5.06439606,2.89041141,83.40854442,5680,4.677360914,3235,2.663954676,6061,4.991106426,113,0.093053131,5059,4.165980434,807,8822,9.5,5.5,4.0,2.4,0.3,4.5,18.0,27.1,50.4,17.0,12.4,57120,3.1,98.2,227.6,88.0,6.8,6.3,5.797552812,10,15.7,20,45,34.9,30.2,5.0,5.3,7.9,2.3,4
20047,2849,12.6009126,12.88171288,9.582309582,10.21411021,10.63531064,14.28571429,15.26851527,8.634608635,5.896805897,93.50649351,45,1.57950158,68,2.386802387,7,0.245700246,0,0.0,65,2.281502282,-44,35,10.1,9.1,1.0,0.0,-16.4,15.7,27.3,39.1,17.9,11.3,16.5,46962,2.4,80.8,227.6,88.0,6.8,6.3,0.136015909,0,26.5,20,47,50.3,38.0,9.2,9.0,14.3,3.6,6
20049,2508,12.16108453,10.96491228,7.695374801,8.213716108,9.011164274,13.83572568,17.02551834,12.63955343,8.452950558,93.66028708,4,0.159489633,50,1.993620415,13,0.518341308,2,0.079744817,90,3.588516746,-14,40,11.5,12.3,-0.8,0.0,-5.2,13.2,40.4,31.4,15.0,17.7,27.8,37360,3.3,64.2,227.6,88.0,6.8,6.3,0.119736013,0,36.2,20,49,53.2,39.4,11.5,11.1,16.3,4.2,6
20051,28710,12.20132358,13.48659004,20.21246952,12.1107628,9.944270289,10.6025775,11.06234761,5.952629746,4.42702891,94.60118426,372,1.295715778,128,0.445837687,533,1.856495994,17,0.059212818,500,1.741553466,-59,1036,11.8,8.5,3.3,1.5,-6.9,7.3,26.5,31.4,34.8,12.0,12.2,53840,2.4,92.6,227.6,88.0,6.8,6.3,1.370662252,34,20.5,20,51,41.3,34.5,6.4,6.7,9.9,2.7,5
20053,6196,9.683666882,10.18398967,13.68624919,13.23434474,11.62040026,13.1859264,14.20271143,8.344092963,5.858618464,91.38153648,326,5.261459006,50,0.80697224,38,0.613298903,0,0.0,120,1.936733376,-111,978,10.2,11.2,-1.0,-0.2,-16.5,8.8,34.0,36.9,20.4,11.9,14.2,50261,2.8,86.4,227.6,88.0,6.8,6.3,0.295807151,0,28.0,20,53,49.0,39.8,8.2,8.2,12.7,3.2,6
20055,36611,17.1287318,16.4841168,14.78244244,13.08076808,11.08956325,11.64130999,8.655868455,4.42763104,2.709568163,88.45702111,1486,4.058889405,479,1.308349949,1642,4.48499085,50,0.136570976,569,1.554177706,-242,547,16.9,5.7,11.2,1.8,-19.7,29.1,21.7,32.2,17.1,13.2,17.5,56206,2.5,96.7,227.6,88.0,6.8,6.3,1.747868886,8,15.0,20,55,50.3,44.2,6.5,7.2,12.9,3.0,5
20057,33888,17.52832861,15.7282814,14.64825307,12.74787535,11.53210576,11.67965061,8.522190746,4.302407932,3.310906516,92.20963173,941,2.776794145,548,1.617091596,526,1.55217186,83,0.244924457,542,1.599386213,-400,708,18.1,6.8,11.4,3.8,-27.0,28.5,24.9,29.0,17.6,11.6,15.8,56052,2.6,96.4,227.6,88.0,6.8,6.3,1.617868422,10,14.7,20,57,49.6,40.9,7.2,7.3,13.8,3.1,5
